Province/State,Country/Region,Day,Time,Confirmed,Suspected,Recovered,Deaths,Demised
Washington,United States,2020-01-21,00:00:00,1.0,,,,
,Thailand,2020-01-21,00:00:00,2.0,,,,
,Japan,2020-01-21,00:00:00,1.0,,,,
Heilongjiang,Mainland China,2020-01-21,00:00:00,,1.0,,,
Hong Kong,Mainland China,2020-01-21,00:00:00,,117.0,,,
Chongqing,Mainland China,2020-01-21,00:00:00,5.0,,,,
Liaoning,Mainland China,2020-01-21,00:00:00,,1.0,,,
Shanghai,Mainland China,2020-01-21,00:00:00,9.0,10.0,,,
Yunnan,Mainland China,2020-01-21,00:00:00,1.0,,,,
Beijing,Mainland China,2020-01-21,00:00:00,10.0,,,,
Taiwan,Mainland China,2020-01-21,00:00:00,1.0,,,,
Jilin,Mainland China,2020-01-21,00:00:00,,1.0,,,
Sichuan,Mainland China,2020-01-21,00:00:00,2.0,1.0,,,
Tianjin,Mainland China,2020-01-21,00:00:00,2.0,,,,
Ningxia,Mainland China,2020-01-21,00:00:00,,1.0,,,
Anhui,Mainland China,2020-01-21,00:00:00,,3.0,,,
Shandong,Mainland China,2020-01-21,00:00:00,1.0,,,,
Guangdong,Mainland China,2020-01-21,00:00:00,17.0,4.0,,,
Guangxi,Mainland China,2020-01-21,00:00:00,,1.0,,,
Jiangxi,Mainland China,2020-01-21,00:00:00,2.0,,,,
Henan,Mainland China,2020-01-21,00:00:00,1.0,,,,
Zhejiang,Mainland China,2020-01-21,00:00:00,5.0,16.0,,,
Hainan,Mainland China,2020-01-21,00:00:00,,1.0,,,
Hubei,Mainland China,2020-01-21,00:00:00,270.0,11.0,,,
,South Korea,2020-01-21,00:00:00,1.0,,,,
Hunan,Mainland China,2020-01-21,00:00:00,1.0,,,,
Guizhou,Mainland China,2020-01-21,00:00:00,,1.0,,,
Hong Kong,Mainland China,2020-01-22,12:00:00,,117.0,,,
Shaanxi,Mainland China,2020-01-22,12:00:00,,,,,
Shandong,Mainland China,2020-01-22,12:00:00,2.0,,,,
Shanghai,Mainland China,2020-01-22,12:00:00,9.0,10.0,,,
Shanxi,Mainland China,2020-01-22,12:00:00,1.0,,,,
Sichuan,Mainland China,2020-01-22,12:00:00,5.0,2.0,,,
Taiwan,Mainland China,2020-01-22,12:00:00,1.0,,,,
Tianjin,Mainland China,2020-01-22,12:00:00,4.0,,,,
Tibet,Mainland China,2020-01-22,12:00:00,,,,,
Washington,US,2020-01-22,12:00:00,1.0,,,,
Xinjiang,Mainland China,2020-01-22,12:00:00,,,,,
Yunnan,Mainland China,2020-01-22,12:00:00,1.0,,,,
Zhejiang,Mainland China,2020-01-22,12:00:00,10.0,,,,
,Japan,2020-01-22,12:00:00,2.0,,,,
,Thailand,2020-01-22,12:00:00,2.0,,,,
,South Korea,2020-01-22,12:00:00,1.0,,,,
Qinghai,Mainland China,2020-01-22,12:00:00,,,,,
Hubei,Mainland China,2020-01-22,12:00:00,444.0,,,,
Ningxia,Mainland China,2020-01-22,12:00:00,1.0,,,,
Chongqing,Mainland China,2020-01-22,12:00:00,6.0,,,,
Henan,Mainland China,2020-01-22,12:00:00,5.0,,,,
Heilongjiang,Mainland China,2020-01-22,12:00:00,,1.0,,,
Hebei,Mainland China,2020-01-22,12:00:00,1.0,,,,
Hainan,Mainland China,2020-01-22,12:00:00,4.0,,,,
Hunan,Mainland China,2020-01-22,12:00:00,4.0,,,,
Guangxi,Mainland China,2020-01-22,12:00:00,2.0,1.0,,,
Guangdong,Mainland China,2020-01-22,12:00:00,26.0,1.0,,,
Macau,Mainland China,2020-01-22,12:00:00,1.0,,,,
Gansu,Mainland China,2020-01-22,12:00:00,,,,,
Inner Mongolia,Mainland China,2020-01-22,12:00:00,,,,,
Jiangsu,Mainland China,2020-01-22,12:00:00,1.0,,,,
Jiangxi,Mainland China,2020-01-22,12:00:00,2.0,,,,
Jilin,Mainland China,2020-01-22,12:00:00,,1.0,,,
Liaoning,Mainland China,2020-01-22,12:00:00,2.0,,,,
Anhui,Mainland China,2020-01-22,12:00:00,1.0,4.0,,,
Beijing,Mainland China,2020-01-22,12:00:00,14.0,,,,
Fujian,Mainland China,2020-01-22,12:00:00,1.0,,,,
Guizhou,Mainland China,2020-01-22,12:00:00,1.0,,,,
Chongqing,Mainland China,2020-01-23,12:00:00,9.0,,,,
Fujian,Mainland China,2020-01-23,12:00:00,5.0,2.0,,,
Anhui,Mainland China,2020-01-23,12:00:00,9.0,4.0,,,
Shaanxi,Mainland China,2020-01-23,12:00:00,3.0,1.0,,,
Qinghai,Mainland China,2020-01-23,12:00:00,,,,,
Ningxia,Mainland China,2020-01-23,12:00:00,1.0,,,,
Macau,Macau,2020-01-23,12:00:00,2.0,,,,
Liaoning,Mainland China,2020-01-23,12:00:00,3.0,,,,
Jilin,Mainland China,2020-01-23,12:00:00,1.0,,,,
Jiangxi,Mainland China,2020-01-23,12:00:00,7.0,,,,
Jiangsu,Mainland China,2020-01-23,12:00:00,5.0,,,,
Inner Mongolia,Mainland China,2020-01-23,12:00:00,,1.0,,,
Hunan,Mainland China,2020-01-23,12:00:00,9.0,,,,
Hubei,Mainland China,2020-01-23,12:00:00,444.0,,28.0,,17.0
Hong Kong,Hong Kong,2020-01-23,12:00:00,2.0,65.0,,,
Henan,Mainland China,2020-01-23,12:00:00,5.0,,,,
Heilongjiang,Mainland China,2020-01-23,12:00:00,2.0,,,,
Hebei,Mainland China,2020-01-23,12:00:00,1.0,,,,1.0
Hainan,Mainland China,2020-01-23,12:00:00,5.0,32.0,,,
Beijing,Mainland China,2020-01-23,12:00:00,22.0,,,,
Guangxi,Mainland China,2020-01-23,12:00:00,5.0,,,,
Guangdong,Mainland China,2020-01-23,12:00:00,32.0,1.0,2.0,,
Shandong,Mainland China,2020-01-23,12:00:00,6.0,2.0,,,
Shanghai,Mainland China,2020-01-23,12:00:00,16.0,22.0,,,
Guizhou,Mainland China,2020-01-23,12:00:00,3.0,,,,
Sichuan,Mainland China,2020-01-23,12:00:00,8.0,2.0,,,
,Colombia,2020-01-23,12:00:00,,1.0,,,
Shanxi,Mainland China,2020-01-23,12:00:00,1.0,,,,
,Brazil,2020-01-23,12:00:00,,1.0,,,
,Mexico,2020-01-23,12:00:00,,1.0,,,
,Australia,2020-01-23,12:00:00,,1.0,,,
,Vietnam,2020-01-23,12:00:00,2.0,,,,
,Malaysia,2020-01-23,12:00:00,,4.0,,,
,Philippines,2020-01-23,12:00:00,,4.0,,,
,Singapore,2020-01-23,12:00:00,1.0,,,,
Gansu,Mainland China,2020-01-23,12:00:00,2.0,,,,
,Thailand,2020-01-23,12:00:00,3.0,,,,
,Japan,2020-01-23,12:00:00,1.0,,,,
Zhejiang,Mainland China,2020-01-23,12:00:00,27.0,,,,
Yunnan,Mainland China,2020-01-23,12:00:00,2.0,,,,
Xinjiang,Mainland China,2020-01-23,12:00:00,2.0,,,,
Washington,US,2020-01-23,12:00:00,1.0,,,,
Tibet,Mainland China,2020-01-23,12:00:00,,,,,
,South Korea,2020-01-23,12:00:00,1.0,,,,
Taiwan,Taiwan,2020-01-23,12:00:00,1.0,,,,
Tianjin,Mainland China,2020-01-23,12:00:00,4.0,,,,
,France,2020-01-24,16:00:00,2.0,,,,
Hubei,Mainland China,2020-01-25,22:00:00,1052.0,,42.0,52.0,
Zhejiang,Mainland China,2020-01-25,22:00:00,104.0,,1.0,,
Tianjin,Mainland China,2020-01-26,23:00:00,14.0,,,,
Hebei,Mainland China,2020-01-26,23:00:00,18.0,,,1.0,
Yunnan,Mainland China,2020-01-26,23:00:00,19.0,,,,
Heilongjiang,Mainland China,2020-01-26,23:00:00,21.0,,,1.0,
Shaanxi,Mainland China,2020-01-26,23:00:00,22.0,,,,
Hainan,Mainland China,2020-01-26,23:00:00,22.0,,,,
Liaoning,Mainland China,2020-01-26,23:00:00,23.0,,,,
Fujian,Mainland China,2020-01-26,23:00:00,35.0,,,,
Guangxi,Mainland China,2020-01-26,23:00:00,46.0,,,,
Jiangsu,Mainland China,2020-01-26,23:00:00,47.0,,1.0,,
Ontario,Canada,2020-01-26,23:00:00,1.0,,,,
Shanghai,Mainland China,2020-01-26,23:00:00,53.0,,1.0,1.0,
Shandong,Mainland China,2020-01-26,23:00:00,63.0,,,,
Beijing,Mainland China,2020-01-26,23:00:00,68.0,,2.0,,
Sichuan,Mainland China,2020-01-26,23:00:00,69.0,,,,
Anhui,Mainland China,2020-01-26,23:00:00,70.0,,,,
Hunan,Mainland China,2020-01-26,23:00:00,100.0,,,,
Chongqing,Mainland China,2020-01-26,23:00:00,110.0,,,,
Henan,Mainland China,2020-01-26,23:00:00,128.0,,,1.0,
Zhejiang,Mainland China,2020-01-26,23:00:00,128.0,,1.0,,
Guangdong,Mainland China,2020-01-26,23:00:00,146.0,,2.0,,
Gansu,Mainland China,2020-01-26,23:00:00,14.0,,,,
Jiangxi,Mainland China,2020-01-26,23:00:00,48.0,,,,
Shanxi,Mainland China,2020-01-26,23:00:00,13.0,,,,
Hong Kong,Hong Kong,2020-01-26,23:00:00,8.0,,,,
,Malaysia,2020-01-26,23:00:00,4.0,,,,
,Nepal,2020-01-26,23:00:00,1.0,,,,
,Australia,2020-01-26,23:00:00,4.0,,,,
,France,2020-01-26,23:00:00,3.0,,,,
,Vietnam,2020-01-26,23:00:00,2.0,,,,
,Singapore,2020-01-26,23:00:00,4.0,,,,
,South Korea,2020-01-26,23:00:00,3.0,,,,
,Thailand,2020-01-26,23:00:00,8.0,,2.0,,
,Japan,2020-01-26,23:00:00,4.0,,1.0,,
Inner Mongolia,Mainland China,2020-01-26,23:00:00,11.0,,,,
Arizona,US,2020-01-26,23:00:00,1.0,,,,
Illinois,US,2020-01-26,23:00:00,1.0,,,,
Washington,US,2020-01-26,23:00:00,1.0,,,,
Qinghai,Mainland China,2020-01-26,23:00:00,4.0,,,,
Taiwan,Taiwan,2020-01-26,23:00:00,4.0,,,,
Ningxia,Mainland China,2020-01-26,23:00:00,4.0,,,,
Xinjiang,Mainland China,2020-01-26,23:00:00,5.0,,,,
Macau,Macau,2020-01-26,23:00:00,6.0,,,,
Jilin,Mainland China,2020-01-26,23:00:00,6.0,,,,
Guizhou,Mainland China,2020-01-26,23:00:00,7.0,,,,
California,US,2020-01-26,23:00:00,2.0,,,,
Hubei,Mainland China,2020-01-26,23:00:00,1423.0,,44.0,76.0,
Victoria,Australia,2020-01-27,20:30:00,1.0,,,,
Fujian,Mainland China,2020-01-27,20:30:00,59.0,,,,
Guangxi,Mainland China,2020-01-27,20:30:00,51.0,,,,
Shaanxi,Mainland China,2020-01-27,20:30:00,35.0,,,,
Hainan,Mainland China,2020-01-27,20:30:00,33.0,,,1.0,
Yunnan,Mainland China,2020-01-27,20:30:00,26.0,,,,
Heilongjiang,Mainland China,2020-01-27,20:30:00,30.0,,,1.0,
Liaoning,Mainland China,2020-01-27,20:30:00,27.0,,,,
Shanghai,Mainland China,2020-01-27,20:30:00,66.0,,3.0,1.0,
Hebei,Mainland China,2020-01-27,20:30:00,33.0,,,1.0,
Jiangsu,Mainland China,2020-01-27,20:30:00,70.0,,1.0,,
Hunan,Mainland China,2020-01-27,20:30:00,100.0,,,,
Beijing,Mainland China,2020-01-27,20:30:00,80.0,,2.0,1.0,
Shandong,Mainland China,2020-01-27,20:30:00,87.0,,,1.0,
Sichuan,Mainland China,2020-01-27,20:30:00,90.0,,,,
Tianjin,Mainland China,2020-01-27,20:30:00,23.0,,,,
Anhui,Mainland China,2020-01-27,20:30:00,106.0,,,,
Chongqing,Mainland China,2020-01-27,20:30:00,132.0,,,,
Guangdong,Mainland China,2020-01-27,20:30:00,151.0,,4.0,,
Zhejiang,Mainland China,2020-01-27,20:30:00,173.0,,1.0,,
Hubei,Mainland China,2020-01-27,20:30:00,2714.0,,47.0,100.0,
,Ivory Coast,2020-01-27,20:30:00,,,,,
New South Wales,Australia,2020-01-27,20:30:00,4.0,,,,
Jiangxi,Mainland China,2020-01-27,20:30:00,72.0,,2.0,,
Shanxi,Mainland China,2020-01-27,20:30:00,20.0,,,,
Hong Kong,Hong Kong,2020-01-27,20:30:00,8.0,,,,
Inner Mongolia,Mainland China,2020-01-27,20:30:00,11.0,,,,
,Cambodia,2020-01-27,20:30:00,1.0,,,,
Ontario,Canada,2020-01-27,20:30:00,1.0,,,,
,Malaysia,2020-01-27,20:30:00,4.0,,,,
,Nepal,2020-01-27,20:30:00,1.0,,,,
,France,2020-01-27,20:30:00,3.0,,,,
,Vietnam,2020-01-27,20:30:00,2.0,,,,
,Singapore,2020-01-27,20:30:00,5.0,,,,
,South Korea,2020-01-27,20:30:00,4.0,,,,
,Thailand,2020-01-27,20:30:00,8.0,,2.0,,
,Japan,2020-01-27,20:30:00,4.0,,1.0,,
Gansu,Mainland China,2020-01-27,20:30:00,19.0,,,,
Arizona,US,2020-01-27,20:30:00,1.0,,,,
Illinois,US,2020-01-27,20:30:00,1.0,,,,
Washington,US,2020-01-27,20:30:00,1.0,,,,
Xinjiang,Mainland China,2020-01-27,20:30:00,5.0,,,,
Taiwan,Taiwan,2020-01-27,20:30:00,5.0,,,,
Qinghai,Mainland China,2020-01-27,20:30:00,6.0,,,,
Macau,Macau,2020-01-27,20:30:00,6.0,,,,
Jilin,Mainland China,2020-01-27,20:30:00,6.0,,,,
Ningxia,Mainland China,2020-01-27,20:30:00,7.0,,,,
,Sri Lanka,2020-01-27,20:30:00,1.0,,,,
Guizhou,Mainland China,2020-01-27,20:30:00,9.0,,,,
California,US,2020-01-27,20:30:00,2.0,,,,
Bavaria,Germany,2020-01-27,20:30:00,1.0,,,,
Henan,Mainland China,2020-01-27,20:30:00,168.0,,,1.0,
Xinjiang,Mainland China,2020-01-28,23:00:00,13.0,,,,
Ningxia,Mainland China,2020-01-28,23:00:00,12.0,,,,
Guizhou,Mainland China,2020-01-28,23:00:00,9.0,,,,
Jilin,Mainland China,2020-01-28,23:00:00,9.0,,,,
Hong Kong,Hong Kong,2020-01-28,23:00:00,8.0,,,,
Taiwan,Taiwan,2020-01-28,23:00:00,8.0,,,,
Macau,Macau,2020-01-28,23:00:00,7.0,,,,
Qinghai,Mainland China,2020-01-28,23:00:00,6.0,,,,
California,US,2020-01-28,23:00:00,2.0,,,,
Arizona,US,2020-01-28,23:00:00,1.0,,,,
,Japan,2020-01-28,23:00:00,7.0,,1.0,,
,Thailand,2020-01-28,23:00:00,14.0,,5.0,,
,South Korea,2020-01-28,23:00:00,4.0,,,,
,Singapore,2020-01-28,23:00:00,7.0,,,,
,Vietnam,2020-01-28,23:00:00,2.0,,,,
,France,2020-01-28,23:00:00,4.0,,,,
,Nepal,2020-01-28,23:00:00,1.0,,,,
,Malaysia,2020-01-28,23:00:00,7.0,,,,
Ontario,Canada,2020-01-28,23:00:00,1.0,,,,
Illinois,US,2020-01-28,23:00:00,1.0,,,,
Inner Mongolia,Mainland China,2020-01-28,23:00:00,16.0,,,,
Tianjin,Mainland China,2020-01-28,23:00:00,25.0,,,,
Shanxi,Mainland China,2020-01-28,23:00:00,27.0,,,,
Hubei,Mainland China,2020-01-28,23:00:00,3554.0,,80.0,125.0,
Zhejiang,Mainland China,2020-01-28,23:00:00,296.0,,3.0,,
Guangdong,Mainland China,2020-01-28,23:00:00,241.0,,5.0,,
Hunan,Mainland China,2020-01-28,23:00:00,221.0,,,,
Henan,Mainland China,2020-01-28,23:00:00,206.0,,1.0,2.0,
Anhui,Mainland China,2020-01-28,23:00:00,152.0,,,,
Chongqing,Mainland China,2020-01-28,23:00:00,147.0,,1.0,,
Shandong,Mainland China,2020-01-28,23:00:00,121.0,,,,
Jiangxi,Mainland China,2020-01-28,23:00:00,109.0,,3.0,,
Gansu,Mainland China,2020-01-28,23:00:00,24.0,,,,
Sichuan,Mainland China,2020-01-28,23:00:00,108.0,,,,
Beijing,Mainland China,2020-01-28,23:00:00,91.0,,4.0,1.0,
Fujian,Mainland China,2020-01-28,23:00:00,82.0,,,,
Shanghai,Mainland China,2020-01-28,23:00:00,80.0,,4.0,1.0,
Guangxi,Mainland China,2020-01-28,23:00:00,58.0,,2.0,,
Shaanxi,Mainland China,2020-01-28,23:00:00,56.0,,,,
Hebei,Mainland China,2020-01-28,23:00:00,48.0,,,1.0,
Yunnan,Mainland China,2020-01-28,23:00:00,44.0,,,,
Heilongjiang,Mainland China,2020-01-28,23:00:00,37.0,,,1.0,
Liaoning,Mainland China,2020-01-28,23:00:00,36.0,,,,
